c_iss_pf,c_oss_pf,channels,configuration,division,i_d_25c_a,i_d_pulse_a,ispn,last_update_sami_pss,parameter_group_name,product_category,product_line,product_name,q_g_10v_nc,q_g_4_5v_nc,qualification,r_ds_on_10v_mohm,r_ds_on_25c_mohm,r_ds_on_4_5v_mohm,sales_product_number,technology_sami,v_ds_v,v_gs_th_max_v,v_gs_th_min_v,v_gs_th_typ_v,voltage_class_v
,,,,PSS,541.0,2164.0,IBQJ35P83TL0,2025-05-20 06:58:04.092,Category 36,,15,IBQJ35P83TL0,156.0,79.0,Industrial,0.42,,0.59,SP881901481,Category 43,40.0,1.8,1.2,1.5,40.0
,,,,PSS,129.0,,IBN874PE7TL0,2025-05-20 06:58:04.092,Category 19,,15,IBN874PE7TL0,,7.5,Industrial,,,2.15,SP881106218,Category 43,15.0,2.0,1.2,1.6,15.0
,,,,PSS,13.8,39.0,IWF68S548W6,2025-05-20 06:58:04.092,Category 44,Prod Category 15,52,IWF68S548W6,25.5,,Non-Automotive,280.0,,,SP887870846,Category 17,600.0,4.5,3.5,4.0,
,,,,PSS,-59.0,-236.0,IBQ538W86TL,2025-05-20 06:58:04.092,Category 36,,51,IBQ538W86TL,-102.0,-51.0,Industrial,24.0,,32.0,SP881385150,Category 31,-60.0,-2.0,-1.0,,-60.0
,,,,PSS,6.0,12.8,IWP08S988W0B,2025-05-20 06:58:04.092,Category 30,Prod Category 15,52,IWP08S988W0B,6.8,,Non-Automotive,900.0,,,SP887610345,Category 18,700.0,3.5,2.5,3.0,
,,,,PSS,-2.2,,ISY6576WVY-7,2025-05-20 06:58:04.092,Category 29,,18,,33.0,,Standard,240.0,,,SP887108844,Category 30,-150.0,-5.0,-3.0,-4.0,
654.0,241.0,,,PSS,4.7,-18.8,VBT577SP,2025-05-20 06:58:04.092,Category 55,Prod Category 15,15,VBT577SP,,,Automotive,,,67.0,SP887788615,Category 45,-20.0,-1.2,-0.6,,
,,,,PSS,21.0,61.0,IWF68S761QW,2025-05-20 06:58:04.092,Category 44,Prod Category 15,52,IWF68S761QW,39.0,,Non-Automotive,165.0,,,SP888891342,Category 12,600.0,3.5,2.5,,
,,,,PSS,19.0,66.0,IWV68S758Q0,2025-05-20 06:58:04.092,Category 3,Prod Category 15,52,IWV68S758Q0,34.0,,Non-Automotive,120.0,,,SP887241834,Category 5,600.0,4.0,3.0,3.5,
,,,,PSS,205.0,820.0,IWW874P78P1,2025-05-20 06:58:04.092,Category 38,,51,IWW874P78P1,168.0,,Industrial,1.83,,,SP881026057,Category 38,100.0,3.8,2.2,3.0,100.0
,,,,PSS,87.0,,ISYA0038,2025-05-20 06:58:04.092,Category 15,Prod Category 15,18,,84.0,,Standard,7.2,,,SP887102688,Category 53,75.0,3.7,2.1,2.9,
,,,,PSS,11.0,28.0,SPO77P68QYM,2025-05-20 06:58:04.092,Category 39,Prod Category 15,52,SPO77P68QYM,48.0,,Non-Automotive,440.0,,,SP888576270,Category 7,600.0,5.0,3.0,,
,,,,PSS,150.0,,ISTV4032,2025-05-20 06:58:04.092,Category 38,,15,,,36.0,Standard,3.2,,4.2,SP887105443,Category 53,30.0,2.35,1.35,1.8,
,,,,PSS,80.0,,ISY4878,2025-05-20 06:58:04.092,Category 38,Prod Category 15,18,,81.0,,Standard,15.0,,,SP887101333,Category 30,100.0,4.0,2.0,3.0,
,,,,PSS,34.0,,OILVX01S868L7J,2025-05-20 06:58:04.092,Category 1,Prod Category 30,52,OILVX01S868L7J,,,Automotive,,60.0,,SP881196799,Category 25,750.0,,,,750.0
,,,,PSS,4.0,,ISY0289,2025-05-20 06:58:04.092,Category 29,Prod Category 4,18,,,16.7,Standard,50.0,,80.0,SP887113763,Category 30,30.0,,1.0,,
,,,,PSS,54.0,203.0,IWMC68R838B0O,2025-05-20 06:58:04.092,Category 22,,52,IWMC68R838B0O,,,Automotive,,,,SP881020999,Category 24,600.0,4.5,3.5,4.0,600.0
,,,,PSS,-2.2,,ISY6576,2025-05-20 06:58:04.092,Category 29,Prod Category 9,18,,33.0,,Standard,240.0,,,SP887163485,Category 30,-150.0,-5.0,-3.0,-4.0,
,,,,PSS,140.0,470.0,IST2482B,2025-05-20 06:58:04.092,Category 3,Prod Category 15,18,IST2482B,,93.3,Standard,6.0,,9.0,SP887102608,Category 30,30.0,,1.0,1.0,
,,,,PSS,202.0,,ISY7383,2025-05-20 06:58:04.092,Category 38,Prod Category 15,18,,131.0,,Standard,4.0,,,SP887167203,Category 30,40.0,4.0,2.0,3.0,
,,,,PSS,-8.0,,ISY9265,2025-05-20 06:58:04.092,Category 29,Prod Category 15,15,,,13.0,Standard,21.0,,32.0,SP887111438,Category 30,-30.0,-2.4,-1.3,-1.8,
,,,,PSS,121.0,484.0,IWW856P83PY5B,2025-05-20 06:58:04.092,Category 38,,15,IWW856P83PY5B,68.0,,Standard,2.6,,,SP881625971,Category 54,40.0,3.4,2.1,2.8,40.0
,,,,PSS,90.0,371.0,IWCQ68R855B0O,2025-05-20 06:58:04.092,Category 23,,52,IWCQ68R855B0O,,,Automotive,,,,SP881024875,Category 24,600.0,4.5,3.5,4.0,600.0
211.0,5.0,,,PSS,6.0,12.8,IWOP08S988W0B,2025-05-20 06:58:04.092,Category 40,Prod Category 15,52,IWOP08S988W0B,6.8,,Non-Automotive,900.0,,,SP887082306,Category 18,700.0,3.5,2.5,3.0,
,,,,PSS,53.0,230.0,IWKO68S820QL4,2025-05-20 06:58:04.092,Category 46,,52,IWKO68S820QL4,79.0,,Industrial,37.0,,,SP881197289,Category 1,600.0,4.7,3.7,4.2,600.0
,,,,PSS,130.0,,ISY68ML586,2025-05-20 06:58:04.092,Category 10,Prod Category 15,18,,133.0,,Standard,2.9,,,SP881102078,Category 53,60.0,3.7,2.1,3.0,
,,,,PSS,9.4,,ISYS758P,2025-05-20 06:58:04.092,Category 8,Prod Category 15,18,,16.7,,Standard,210.0,,,SP887166933,Category 30,100.0,4.0,2.0,3.0,
6100.0,1640.0,,,PSS,100.0,400.0,IWV821P84P2 X,2025-05-20 06:58:04.092,Category 3,Prod Category 15,18,IWV821P84P2 X,88.0,,Industrial,3.5,,,SP888310144,Category 33,80.0,3.5,2.0,2.8,
,,,,PSS,13.0,24.0,IPLN68S268WYM0,2025-05-20 06:58:04.092,Category 58,Prod Category 19,52,IPLN68S268WYM0,12.7,,Industrial,360.0,,,SP883413666,Category 19,600.0,4.5,3.5,4.0,600.0
6400.0,2100.0,,,PSS,14.9,-59.6,VBU587SP J,2025-05-20 06:58:04.092,Category 29,Prod Category 15,15,VBU587SP J,,,Industrial,,,8.0,SP888672454,Category 45,-20.0,,,-0.9,
,,,,PSS,110.0,440.0,IWW818P78PY5B,2025-05-20 06:58:04.092,Category 38,Prod Category 23,51,IWW818P78PY5B,51.0,,Standard,5.0,,,SP881134434,Category 54,100.0,3.8,2.2,3.0,100.0
,,,,PSS,2.2,6.3,IWM18S5N8QE,2025-05-20 06:58:04.092,Category 8,Prod Category 15,52,IWM18S5N8QE,6.0,,Non-Automotive,2000.0,,,SP887296458,Category 6,500.0,3.5,2.5,3.0,
,,,,PSS,,,EVOT_5N3F_OQR_VSM_B0,2025-05-20 06:58:04.092,,Prod Category 12,52,EVOT_5N3F_OQR_VSM_B0,,,Standard,,,,SP881375000,,,,,,
,,,,PSS,4.7,,ISY0232,2025-05-20 06:58:04.092,Category 29,Prod Category 4,18,,26.0,,Standard,50.0,,65.0,SP887107906,Category 30,55.0,,1.0,,
,,,,PSS,1.2,,ISTLT5385XWVY,2025-05-20 06:58:04.092,Category 31,,15,,,2.6,Standard,,,250.0,SP887105905,Category 30,20.0,,0.7,,
2200.0,370.0,,,PSS,95.0,380.0,VBQ815P84PB1,2025-05-20 06:58:04.092,Category 36,Prod Category 15,18,VBQ815P84PB1,32.0,,Industrial,5.2,,,SP887525625,Category 38,80.0,3.8,2.2,3.0,
,,,,PSS,120.0,,ISY3783,2025-05-20 06:58:04.092,Category 38,Prod Category 15,15,,68.0,,Standard,5.5,,,SP887113878,Category 30,40.0,4.0,2.0,3.0,
,,,,PSS,-8.0,,BI3321MZ,2025-05-20 06:58:04.092,Category 29,,15,,40.0,,Standard,20.0,,35.0,SP887102016,Category 30,-30.0,,-1.0,,
,,,,PSS,47.0,,ILR61S780L7J,2025-05-20 06:58:04.092,Category 1,Prod Category 30,52,ILR61S780L7J,,,Industrial,,107.0,,SP881076413,Category 25,650.0,,,,650.0
,,,,PSS,340.0,,ISYV2883,2025-05-20 06:58:04.092,Category 38,Prod Category 15,15,,160.0,,Standard,1.75,,,SP887105358,Category 30,40.0,4.0,2.0,3.0,
1180.0,175.0,,,PSS,27.0,108.0,IWM22QP78P X,2025-05-20 06:58:04.092,Category 8,Prod Category 15,51,IWM22QP78P X,18.0,,Industrial,33.0,,,SP887750475,Category 31,100.0,4.0,2.0,3.0,
,,,,PSS,4.0,12.0,SPO83P48Q2,2025-05-20 06:58:04.092,Category 39,Prod Category 15,52,SPO83P48Q2,20.0,,Non-Automotive,1300.0,,,SP888576288,Category 2,800.0,3.9,2.1,3.0,
2900.0,840.0,,,PSS,161.0,644.0,VBQ879P83TB,2025-05-20 06:58:04.092,Category 36,Prod Category 15,15,VBQ879P83TB,,21.0,Industrial,1.9,,2.7,SP887860875,Category 38,40.0,2.0,1.2,1.54,
,,,,PSS,4.2,,ISTLT5185XWVY,2025-05-20 06:58:04.092,Category 31,,15,,,8.0,Standard,,,45.0,SP887114456,Category 30,20.0,1.2,0.6,0.9,
1400.0,280.0,,,PSS,,84.0,VAK28O J BLM,2025-05-20 06:58:04.092,Category 3,Prod Category 15,15,VAK28O J BLM,,,Non-Automotive,130.0,,,SP888026845,Category 50,200.0,4.0,2.1,3.0,
13000.0,2000.0,,,PSS,177.0,480.0,IWV870P84P1,2025-05-20 06:58:04.092,Category 3,Prod Category 15,18,IWV870P84P1,178.0,,Industrial,1.7,,,SP887725305,Category 38,80.0,3.8,2.2,3.0,
,,,,PSS,,,IWQ272P78P2S,2025-05-20 06:58:04.092,Category 9,,51,,,,,100.0,,,SP887763225,Category 33,100.0,3.5,2.0,,
,,,,PSS,2.7,,ISTLT8868,2025-05-20 06:58:04.092,Category 31,Prod Category 15,15,,,2.5,Standard,92.0,,116.0,SP887164934,Category 30,60.0,2.5,1.0,1.75,
,,,,PSS,445.0,,ICM889P86PL1BQ,2025-05-20 06:58:04.092,Category 19,,18,ICM889P86PL1BQ,120.0,,Industrial,0.9,,,SP881983292,Category 38,60.0,3.3,2.1,2.8,60.0
2200.0,730.0,,,PSS,90.0,360.0,VBQ788P78PBY X,2025-05-20 06:58:04.092,Category 36,Prod Category 15,51,VBQ788P78PBY X,33.0,,Industrial,10.0,,,SP888209191,Category 31,100.0,4.0,2.0,3.0,
,,,,PSS,-74.0,,ISY3981,2025-05-20 06:58:04.092,Category 38,Prod Category 15,18,,120.0,,Standard,20.0,,,SP887107228,Category 30,-55.0,-4.0,-2.0,-3.0,
,,,,PSS,10.0,,ISTS758P,2025-05-20 06:58:04.092,Category 8,Prod Category 15,18,,,13.3,Standard,185.0,,265.0,SP887164986,Category 30,100.0,2.0,1.0,1.5,
300.0,90.0,,,PSS,2.6,10.4,VBU671P X,2025-05-20 06:58:04.092,Category 29,Prod Category 15,18,VBU671P X,14.0,,Automotive,,,150.0,SP888576276,Category 52,60.0,2.0,1.2,1.6,
,,,,PSS,90.0,400.0,IWM838P82T X,2025-05-20 06:58:04.092,Category 8,Prod Category 15,15,IWM838P82T X,38.0,18.0,Industrial,4.0,,5.9,SP888648654,Category 33,30.0,2.2,1.0,,
,,,,PSS,29.0,,ISYK23PB,2025-05-20 06:58:04.092,Category 3,Prod Category 15,18,,22.7,,Standard,40.0,,,SP887107423,Category 30,55.0,4.0,2.0,3.0,
,,,,PSS,-18.0,,ISYS1181,2025-05-20 06:58:04.092,Category 8,,18,,21.3,,Standard,110.0,,,SP887110763,Category 30,-55.0,-4.0,-2.0,-3.0,
,,,,PSS,8.9,,ISY4971,2025-05-20 06:58:04.092,Category 29,Prod Category 15,15,,,4.9,Standard,18.3,,27.0,SP887113393,Category 30,20.0,2.5,1.7,2.1,
,,,,PSS,,,EVOT_5NF_KVB_YV_QYM0,2025-05-20 06:58:04.092,,Prod Category 6,52,EVOT_5NF_KVB_YV_QYM0,,,Industrial,,,,SP887058118,,,,,,
,,,,PSS,142.0,,ILVX61S828L7J,2025-05-20 06:58:04.092,Category 1,Prod Category 30,52,ILVX61S828L7J,,,Industrial,,30.0,,SP881129761,Category 25,650.0,,,,650.0
,,,,PSS,11.0,33.0,SPO77P48Q2,2025-05-20 06:58:04.092,Category 39,Prod Category 15,52,SPO77P48Q2,50.0,,Non-Automotive,450.0,,,SP888576258,Category 2,800.0,3.9,2.1,,
1400.0,300.0,,,PSS,64.0,256.0,VBQ8082TB,2025-05-20 06:58:04.092,Category 36,Prod Category 21,18,VBQ8082TB,18.0,10.0,Standard,6.5,,9.2,SP887673855,Category 48,60.0,2.3,1.1,1.7,
,,,,PSS,14.0,,ISY4073WVY-7,2025-05-20 06:58:04.092,Category 29,,15,,,8.1,Standard,8.7,,13.0,SP887113346,Category 53,30.0,2.35,1.35,1.8,
,,,,PSS,-70.0,,ISY3981B,2025-05-20 06:58:04.092,Category 3,Prod Category 15,18,,120.0,,Standard,20.0,,,SP887119625,Category 30,-55.0,-4.0,-2.0,-3.0,
,,,,PSS,9.9,19.0,IWM68S618QE,2025-05-20 06:58:04.092,Category 8,,52,IWM68S618QE,20.5,,Standard,650.0,,,SP887296443,Category 6,600.0,3.5,2.5,3.0,
,,,,PSS,17.5,57.2,IWV61S798QYM,2025-05-20 06:58:04.092,Category 3,Prod Category 15,52,IWV61S798QYM,68.0,,Industrial,190.0,,,SP887900824,Category 8,650.0,4.5,3.5,4.0,
,,,,PSS,11.0,33.0,SPO77P61Q2,2025-05-20 06:58:04.092,Category 39,Prod Category 15,52,SPO77P61Q2,45.0,,Non-Automotive,380.0,,,SP888576274,Category 2,650.0,3.9,2.1,,
,,,,PSS,260.0,,ISTV2472,2025-05-20 06:58:04.092,Category 38,Prod Category 15,15,,,57.0,Standard,1.95,,2.6,SP887114778,Category 53,30.0,2.35,1.35,1.9,
,,,,PSS,142.0,,ILR61S828L7J,2025-05-20 06:58:04.092,Category 1,Prod Category 30,52,ILR61S828L7J,,,Industrial,,30.0,,SP881117720,Category 25,650.0,,,,650.0
,,,,PSS,150.0,,IBQ8485PTB,2025-05-20 06:58:04.092,Category 36,Prod Category 21,51,IBQ8485PTB,55.0,29.0,Standard,3.6,,4.8,SP881328205,Category 38,100.0,2.3,1.1,1.6,100.0
2000.0,490.0,,,PSS,98.0,392.0,VBK835P86PB,2025-05-20 06:58:04.092,Category 19,Prod Category 15,18,VBK835P86PB,27.0,,Industrial,4.2,,,SP888970374,Category 38,60.0,3.3,2.1,2.8,
,,,,PSS,270.0,,IBQ875P82TY5B,2025-05-20 06:58:04.092,Category 36,,15,IBQ875P82TY5B,69.0,33.0,Standard,1.28,,2.1,SP881419652,Category 54,30.0,2.35,1.35,1.85,30.0
,,,,PSS,11.0,,ISY0480K,2025-05-20 06:58:04.092,Category 29,Prod Category 15,15,,,7.2,Standard,13.8,,18.2,SP887108393,Category 30,30.0,2.25,1.35,1.8,
,,,,PSS,3.5,,ISY0781,2025-05-20 06:58:04.092,Category 29,,18,,9.4,,Standard,250.0,,400.0,SP887167993,Category 30,25.0,3.0,1.0,,
,,,,PSS,9.4,,ISY0364,2025-05-20 06:58:04.092,Category 29,,15,,,23.0,Standard,15.5,,17.0,SP887119974,Category 30,40.0,2.0,0.8,1.4,
,,,,PSS,15.0,34.0,IWO98S238Q2,2025-05-20 06:58:04.092,Category 39,Prod Category 15,52,IWO98S238Q2,94.0,,Industrial,340.0,,,SP885134416,Category 2,900.0,3.5,2.5,3.0,
,,,,PSS,52.0,208.0,IWW759P78PY5B,2025-05-20 06:58:04.092,Category 38,Prod Category 23,51,IWW759P78PY5B,19.0,,Standard,12.9,,,SP881139892,Category 54,100.0,3.8,2.2,3.0,100.0
,,,,PSS,483.0,,ISY788W574,2025-05-20 06:58:04.092,Category 44,Prod Category 15,51,,330.0,,Industrial,1.28,,,SP887679118,Category 53,100.0,,,,
2600.0,920.0,,,PSS,,80.0,VBQ805P82TM X,2025-05-20 06:58:04.092,Category 37,Prod Category 15,15,VBQ805P82TM X,31.0,15.0,Industrial,7.2,,9.4,SP888219680,Category 33,30.0,2.2,1.0,,
,,,,PSS,31.2,99.6,IWF61S778QYMO,2025-05-20 06:58:04.092,Category 50,Prod Category 15,52,IWF61S778QYMO,,,Automotive,110.0,,,SP888491526,Category 11,650.0,4.5,3.5,,
1585.0,739.0,,,PSS,10.0,,BI3378MZ,2025-05-20 06:58:04.092,Category 29,,15,,30.0,,Standard,13.5,,20.0,SP887162848,Category 30,30.0,,1.0,,
,,,,PSS,170.0,,ISYW5980K,2025-05-20 06:58:04.092,Category 44,Prod Category 15,18,,,,Standard,4.5,,,SP887107834,Category 55,75.0,,,,
,,,,PSS,330.0,1320.0,IBQ878P86PL1,2025-05-20 06:58:04.092,Category 36,Prod Category 21,18,IBQ878P86PL1,115.0,,Industrial,1.05,,,SP881628496,Category 38,60.0,3.3,2.1,2.8,60.0
,,,,PSS,6.0,14.0,IWP68S688WYM0B,2025-05-20 06:58:04.092,Category 30,Prod Category 15,52,IWP68S688WYM0B,8.5,,Standard,600.0,,,SP881212990,Category 19,600.0,4.5,3.5,4.0,600.0
56.0,13.0,,,PSS,0.54,2.2,VBB608B5T,2025-05-20 06:58:04.092,Category 31,Prod Category 15,15,VBB608B5T,1.7,,Automotive,650.0,,,SP888954918,Category 31,55.0,2.0,1.2,,
,,,,PSS,52.0,129.0,IWMM68S811QYM0,2025-05-20 06:58:04.092,Category 6,Prod Category 19,52,IWMM68S811QYM0,67.0,,Industrial,55.0,,,SP882482288,Category 9,600.0,4.5,3.5,4.0,600.0
,,,,PSS,31.0,93.0,IWW68S899QWO,2025-05-20 06:58:04.092,Category 38,,52,IWW68S899QWO,,,Automotive,105.0,,,SP888271374,Category 13,600.0,3.5,2.5,,
,,,,PSS,282.0,1128.0,IWY875P86PY5B,2025-05-20 06:58:04.092,Category 4,,18,IWY875P86PY5B,155.0,,Standard,1.2,,,SP881144908,Category 54,60.0,3.3,2.1,2.8,60.0
,,,,PSS,-8.0,,ISY0254,2025-05-20 06:58:04.092,Category 29,Prod Category 15,15,,52.0,,Standard,21.0,,32.0,SP887161508,Category 30,30.0,-2.5,-1.0,-1.75,
,,,,PSS,43.0,,ILR38S831L5J,2025-05-20 06:58:04.092,Category 1,Prod Category 30,51,ILR38S831L5J,,,Industrial,,44.9,,SP881971040,Category 26,400.0,,,,400.0
,,,,PSS,59.0,,ISY6620,2025-05-20 06:58:04.092,Category 10,Prod Category 15,15,,,11.0,Standard,7.7,,10.8,SP887125594,Category 30,30.0,2.35,1.35,1.8,
,,,,PSS,379.0,1516.0,ICE883PE7TL0BQ,2025-05-20 06:58:04.092,Category 19,,15,ICE883PE7TL0BQ,,29.0,Industrial,,,0.57,SP881145184,Category 43,15.0,2.0,1.2,1.6,15.0
,,,,PSS,49.0,,ISYK33P,2025-05-20 06:58:04.092,Category 38,Prod Category 15,18,,42.0,,Standard,17.5,,,SP887161213,Category 30,55.0,4.0,2.0,3.0,
,,,,PSS,632.0,,ILVX61S889L7J,2025-05-20 06:58:04.092,Category 1,Prod Category 30,52,ILVX61S889L7J,,,Industrial,,8.7,,SP881108446,Category 25,650.0,,,,650.0
,,,,PSS,21.0,79.0,IWF68S781QYM0,2025-05-20 06:58:04.092,Category 44,Prod Category 15,52,IWF68S781QYM0,42.0,,Industrial,105.0,,,SP887071654,Category 9,600.0,4.5,3.5,4.0,
,,,,PSS,10.6,30.0,IWV68S248Q6,2025-05-20 06:58:04.092,Category 3,Prod Category 15,52,IWV68S248Q6,32.0,,Non-Automotive,380.0,,,SP888668623,Category 4,600.0,3.5,2.5,,
300.0,90.0,,,PSS,2.6,10.4,VBU671P X,2025-05-20 06:58:04.092,Category 29,Prod Category 15,15,VBU671P X,14.0,,Automotive,,,150.0,SP881212410,Category 52,60.0,2.0,1.2,1.6,
,,,,PSS,15.1,30.0,IWM61S388QE,2025-05-20 06:58:04.092,Category 8,Prod Category 19,52,IWM61S388QE,39.0,,Standard,400.0,,,SP887366488,Category 6,650.0,3.5,2.5,3.0,
,,,,PSS,6.6,,ISY0270,2025-05-20 06:58:04.092,Category 29,Prod Category 4,18,,,19.0,Standard,,,58.0,SP887113743,Category 30,20.0,,0.7,,
,,,,PSS,-4.3,,ISTLT6387,2025-05-20 06:58:04.092,Category 31,Prod Category 15,15,,,10.0,Standard,,,50.0,SP887100833,Category 30,-12.0,-0.95,-0.4,-0.55,
,,,,PSS,210.0,,ISYBT2586,2025-05-20 06:58:04.092,Category 14,Prod Category 15,18,,120.0,,Standard,3.0,,,SP887104306,Category 30,60.0,4.0,2.0,3.0,
,,,,PSS,62.0,,ISYS34K,2025-05-20 06:58:04.092,Category 8,Prod Category 15,18,,40.0,,Standard,11.0,,,SP887101985,Category 30,55.0,4.0,2.0,3.0,
730.0,180.0,,,PSS,32.0,128.0,VBK288P71PB1,2025-05-20 06:58:04.092,Category 19,Prod Category 15,51,VBK288P71PB1,10.1,,Industrial,30.0,,,SP887509193,Category 38,150.0,,,3.8,
1081.0,19.0,,,PSS,18.0,53.0,IWV68S748W0,2025-05-20 06:58:04.092,Category 3,Prod Category 15,52,IWV68S748W0,25.0,,Industrial,180.0,,,SP887663923,Category 18,600.0,4.0,3.0,3.5,
,,,,PSS,292.0,1168.0,VBQ878P83TBR,2025-05-20 06:58:04.092,Category 36,Prod Category 15,15,VBQ878P83TBR,95.0,,Industrial,1.0,,,SP887610864,Category 38,40.0,2.0,1.2,1.48,
,,,,PSS,56.0,,ISY6055L,2025-05-20 06:58:04.092,Category 10,Prod Category 15,15,,,11.0,Standard,7.7,,10.8,SP887152984,Category 53,30.0,2.4,1.4,1.8,
,,,,PSS,32.0,139.0,IWFB61S801QYM0O,2025-05-20 06:58:04.092,Category 51,Prod Category 19,52,IWFB61S801QYM0O,,,Automotive,75.0,,,SP881381486,Category 10,650.0,4.5,3.5,4.0,650.0
,,,,PSS,10.1,18.0,IWM61S618QE,2025-05-20 06:58:04.092,Category 8,Prod Category 19,52,IWM61S618QE,23.0,,Standard,650.0,,,SP887296984,Category 6,650.0,3.5,2.5,3.0,
